# Date,Time,UVA,UVB,UV
2006-01-01,01:00,0,0,0
2006-01-01,02:00,0,0,0
2006-01-01,03:00,0,0,0
2006-01-01,04:00,0,0,0
2006-01-01,05:00,0,0,0
2006-01-01,06:00,0,0,0
2006-01-01,07:00,0.2092,0.0054,0.2146
2006-01-01,08:00,2.1867,0.0563,2.243
2006-01-01,09:00,5.403,0.1378,5.5408
2006-01-01,10:00,8.9064,0.2246,9.131
2006-01-01,11:00,8.8732,0.2248,9.098
2006-01-01,12:00,9.2509,0.2335,9.4843
2006-01-01,13:00,10.8852,0.2683,11.1535
2006-01-01,14:00,7.2022,0.1778,7.38
2006-01-01,15:00,1.7081,0.0433,1.7513
2006-01-01,16:00,0,0,0
2006-01-01,17:00,0,0,0
2006-01-01,18:00,0,0,0
2006-01-01,19:00,0,0,0
2006-01-01,20:00,0,0,0
2006-01-01,21:00,0,0,0
2006-01-01,22:00,0,0,0
2006-01-01,23:00,0,0,0
2006-01-01,24:00,0,0,0
2006-01-02,01:00,0,0,0
2006-01-02,02:00,0,0,0
2006-01-02,03:00,0,0,0
2006-01-02,04:00,0,0,0
2006-01-02,05:00,0,0,0
2006-01-02,06:00,0,0,0
2006-01-02,07:00,0.2762,0.0071,0.2833
2006-01-02,08:00,2.4446,0.0628,2.5074
2006-01-02,09:00,5.589,0.1424,5.7313
2006-01-02,10:00,7.5498,0.1919,7.7417
2006-01-02,11:00,6.8025,0.1742,6.9766
2006-01-02,12:00,5.9036,0.1516,6.0552
2006-01-02,13:00,5.6474,0.1445,5.7919
2006-01-02,14:00,2.9413,0.0758,3.0171
2006-01-02,15:00,0.7636,0.0198,0.7834
2006-01-02,16:00,0,0,0
2006-01-02,17:00,0,0,0
2006-01-02,18:00,0,0,0
2006-01-02,19:00,0,0,0
2006-01-02,20:00,0,0,0
2006-01-02,21:00,0,0,0
2006-01-02,22:00,0,0,0
2006-01-02,23:00,0,0,0
2006-01-02,24:00,0,0,0
2006-01-03,01:00,0,0,0
2006-01-03,02:00,0,0,0
2006-01-03,03:00,0,0,0
2006-01-03,04:00,0,0,0
2006-01-03,05:00,0,0,0
2006-01-03,06:00,0,0,0
2006-01-03,07:00,0.2758,0.0071,0.2829
2006-01-03,08:00,2.6338,0.0675,2.7013
2006-01-03,09:00,5.5279,0.1409,5.6688
2006-01-03,10:00,6.8809,0.1756,7.0564
2006-01-03,11:00,7.0542,0.1804,7.2346
2006-01-03,12:00,6.6629,0.1705,6.8334
2006-01-03,13:00,5.4006,0.1384,5.539
2006-01-03,14:00,3.7727,0.0966,3.8693
2006-01-03,15:00,1.0298,0.0266,1.0564
2006-01-03,16:00,0,0,0
2006-01-03,17:00,0,0,0
2006-01-03,18:00,0,0,0
2006-01-03,19:00,0,0,0
2006-01-03,20:00,0,0,0
2006-01-03,21:00,0,0,0
2006-01-03,22:00,0,0,0
2006-01-03,23:00,0,0,0
2006-01-03,24:00,0,0,0
2006-01-04,01:00,0,0,0
2006-01-04,02:00,0,0,0
2006-01-04,03:00,0,0,0
2006-01-04,04:00,0,0,0
2006-01-04,05:00,0,0,0
2006-01-04,06:00,0,0,0
2006-01-04,07:00,0.2762,0.0071,0.2833
2006-01-04,08:00,2.8859,0.0738,2.9597
2006-01-04,09:00,8.0942,0.2023,8.2964
2006-01-04,10:00,6.0114,0.1541,6.1655
2006-01-04,11:00,9.2387,0.2338,9.4725
2006-01-04,12:00,8.9129,0.2255,9.1384
2006-01-04,13:00,7.0607,0.1792,7.2399
2006-01-04,14:00,4.2709,0.1089,4.3798
2006-01-04,15:00,1.2248,0.0315,1.2563
2006-01-04,16:00,0,0,0
2006-01-04,17:00,0,0,0
2006-01-04,18:00,0,0,0
2006-01-04,19:00,0,0,0
2006-01-04,20:00,0,0,0
2006-01-04,21:00,0,0,0
2006-01-04,22:00,0,0,0
2006-01-04,23:00,0,0,0
2006-01-04,24:00,0,0,0
2006-01-05,01:00,0,0,0
2006-01-05,02:00,0,0,0
2006-01-05,03:00,0,0,0
2006-01-05,04:00,0,0,0
2006-01-05,05:00,0,0,0
2006-01-05,06:00,0,0,0
2006-01-05,07:00,0.1395,0.0036,0.1431
2006-01-05,08:00,1.8622,0.0481,1.9103
2006-01-05,09:00,4.9122,0.1257,5.038
2006-01-05,10:00,5.1202,0.1318,5.252
2006-01-05,11:00,7.3688,0.1882,7.557
2006-01-05,12:00,9.9106,0.2495,10.1601
2006-01-05,13:00,5.1528,0.1323,5.2851
2006-01-05,14:00,2.6866,0.0694,2.756
2006-01-05,15:00,0.7671,0.0199,0.787
2006-01-05,16:00,0,0,0
2006-01-05,17:00,0,0,0
2006-01-05,18:00,0,0,0
2006-01-05,19:00,0,0,0
2006-01-05,20:00,0,0,0
2006-01-05,21:00,0,0,0
2006-01-05,22:00,0,0,0
2006-01-05,23:00,0,0,0
2006-01-05,24:00,0,0,0
2006-01-06,01:00,0,0,0
2006-01-06,02:00,0,0,0
2006-01-06,03:00,0,0,0
2006-01-06,04:00,0,0,0
2006-01-06,05:00,0,0,0
2006-01-06,06:00,0,0,0
2006-01-06,07:00,0.342,0.0088,0.3508
2006-01-06,08:00,3.318,0.0844,3.4024
2006-01-06,09:00,5.5941,0.1425,5.7367
2006-01-06,10:00,6.9495,0.1773,7.1268
2006-01-06,11:00,7.9258,0.202,8.1277
2006-01-06,12:00,8.1469,0.2071,8.354
2006-01-06,13:00,5.5973,0.1434,5.7407
2006-01-06,14:00,3.0145,0.0777,3.0922
2006-01-06,15:00,0.9016,0.0234,0.925
2006-01-06,16:00,0,0,0
2006-01-06,17:00,0,0,0
2006-01-06,18:00,0,0,0
2006-01-06,19:00,0,0,0
2006-01-06,20:00,0,0,0
2006-01-06,21:00,0,0,0
2006-01-06,22:00,0,0,0
2006-01-06,23:00,0,0,0
2006-01-06,24:00,0,0,0
2006-01-07,01:00,0,0,0
2006-01-07,02:00,0,0,0
2006-01-07,03:00,0,0,0
2006-01-07,04:00,0,0,0
2006-01-07,05:00,0,0,0
2006-01-07,06:00,0,0,0
2006-01-07,07:00,0.3426,0.0088,0.3514
2006-01-07,08:00,3.0154,0.077,3.0924
2006-01-07,09:00,6.0833,0.1545,6.2378
2006-01-07,10:00,7.3208,0.1865,7.5073
2006-01-07,11:00,10.6463,0.2675,10.9138
2006-01-07,12:00,11.2769,0.2818,11.5586
2006-01-07,13:00,9.8323,0.2452,10.0774
2006-01-07,14:00,6.567,0.1641,6.7312
2006-01-07,15:00,1.6119,0.0412,1.6532
2006-01-07,16:00,0,0,0
2006-01-07,17:00,0,0,0
2006-01-07,18:00,0,0,0
2006-01-07,19:00,0,0,0
2006-01-07,20:00,0,0,0
2006-01-07,21:00,0,0,0
2006-01-07,22:00,0,0,0
2006-01-07,23:00,0,0,0
2006-01-07,24:00,0,0,0
2006-01-08,01:00,0,0,0
2006-01-08,02:00,0,0,0
2006-01-08,03:00,0,0,0
2006-01-08,04:00,0,0,0
2006-01-08,05:00,0,0,0
2006-01-08,06:00,0,0,0
2006-01-08,07:00,0.5309,0.0135,0.5444
2006-01-08,08:00,5.568,0.1372,5.7053
2006-01-08,09:00,12.4621,0.2981,12.7601
2006-01-08,10:00,17.4333,0.4107,17.844
2006-01-08,11:00,19.7113,0.4616,20.1729
2006-01-08,12:00,19.0787,0.4473,19.5261
2006-01-08,13:00,15.481,0.3665,15.8475
2006-01-08,14:00,9.2688,0.2247,9.4935
2006-01-08,15:00,2.6834,0.0671,2.7506
2006-01-08,16:00,0,0,0
2006-01-08,17:00,0,0,0
2006-01-08,18:00,0,0,0
2006-01-08,19:00,0,0,0
2006-01-08,20:00,0,0,0
2006-01-08,21:00,0,0,0
2006-01-08,22:00,0,0,0
2006-01-08,23:00,0,0,0
2006-01-08,24:00,0,0,0
2006-01-09,01:00,0,0,0
2006-01-09,02:00,0,0,0
2006-01-09,03:00,0,0,0
2006-01-09,04:00,0,0,0
2006-01-09,05:00,0,0,0
2006-01-09,06:00,0,0,0
2006-01-09,07:00,0.5323,0.0136,0.5458
2006-01-09,08:00,5.6845,0.14,5.8245
2006-01-09,09:00,12.4863,0.2989,12.7852
2006-01-09,10:00,17.4223,0.411,17.8333
2006-01-09,11:00,19.6636,0.4614,20.125
2006-01-09,12:00,18.9896,0.4463,19.4359
2006-01-09,13:00,15.296,0.3634,15.6595
2006-01-09,14:00,9.0956,0.2213,9.3169
2006-01-09,15:00,2.6355,0.0661,2.7016
2006-01-09,16:00,0,0,0
2006-01-09,17:00,0,0,0
2006-01-09,18:00,0,0,0
2006-01-09,19:00,0,0,0
2006-01-09,20:00,0,0,0
2006-01-09,21:00,0,0,0
2006-01-09,22:00,0,0,0
2006-01-09,23:00,0,0,0
2006-01-09,24:00,0,0,0
2006-01-10,01:00,0,0,0
2006-01-10,02:00,0,0,0
2006-01-10,03:00,0,0,0
2006-01-10,04:00,0,0,0
2006-01-10,05:00,0,0,0
2006-01-10,06:00,0,0,0
2006-01-10,07:00,0.4076,0.0105,0.418
